0.25,0.25,0.25,0.25
0.22,0.258,0.265,0.257
0.195,0.265,0.271,0.269
0.162,0.262,0.288,0.288
0.144,0.252,0.294,0.31
0.13,0.238,0.305,0.327
0.114,0.211,0.315,0.36
0.097,0.185,0.32,0.398
0.089,0.161,0.306,0.444
0.084,0.147,0.283,0.486
0.076,0.133,0.265,0.526
0.073,0.109,0.248,0.57
0.075,0.098,0.228,0.599
0.076,0.091,0.209,0.624
0.078,0.08,0.195,0.647
0.08,0.073,0.181,0.666
0.084,0.069,0.173,0.674
0.087,0.065,0.164,0.684
0.09,0.066,0.152,0.692
0.094,0.062,0.144,0.7
0.098,0.057,0.137,0.708
0.105,0.054,0.132,0.709
0.109,0.054,0.125,0.712
0.112,0.054,0.122,0.712
0.117,0.053,0.114,0.716
0.129,0.053,0.105,0.713
0.138,0.056,0.101,0.705
0.146,0.059,0.098,0.697
0.155,0.062,0.089,0.694
0.168,0.066,0.087,0.679
0.179,0.07,0.082,0.669
0.194,0.078,0.074,0.654
0.202,0.085,0.075,0.638
0.21,0.092,0.073,0.625
0.217,0.102,0.073,0.608
0.219,0.114,0.072,0.595
0.227,0.126,0.073,0.574
0.237,0.141,0.073,0.549
0.239,0.159,0.078,0.524
0.238,0.182,0.081,0.499
0.233,0.21,0.086,0.471
0.232,0.234,0.094,0.44
0.217,0.258,0.103,0.422
0.207,0.275,0.112,0.406
0.196,0.292,0.124,0.388
0.179,0.292,0.153,0.376
0.167,0.29,0.171,0.372
0.156,0.285,0.189,0.37
0.134,0.273,0.213,0.38
0.12,0.256,0.23,0.394
0.106,0.239,0.241,0.414
0.1,0.222,0.246,0.432
0.095,0.198,0.255,0.452
0.088,0.175,0.254,0.483
0.083,0.161,0.251,0.505
0.079,0.144,0.244,0.533
0.076,0.137,0.227,0.56
0.073,0.129,0.212,0.586
0.068,0.122,0.2,0.61
0.069,0.107,0.188,0.636
0.069,0.1,0.185,0.646
0.068,0.094,0.176,0.662
0.072,0.09,0.158,0.68
0.078,0.084,0.147,0.691
0.081,0.079,0.134,0.706
0.084,0.077,0.128,0.711
0.088,0.074,0.12,0.718
0.098,0.073,0.115,0.714
0.101,0.073,0.112,0.714
0.114,0.074,0.103,0.709
0.122,0.075,0.099,0.704
0.134,0.077,0.096,0.693
0.141,0.08,0.095,0.684
0.15,0.088,0.09,0.672
0.158,0.095,0.089,0.658
