,from_csv,from_matrix
0,2.9699548588249494e-06,0.5653071059223417
1,-8.055713878597927e-07,0.07995244435363222
2,-1.5016735837457805e-06,-0.6292088129864001
3,-6.688324849402007e-07,0.14467405784568063
4,6.122597720802772e-09,-0.16072440525378923
5,3.23862448940817e-06,0.8644739172076765
6,-1.9207751496152837e-06,-0.7875824527152797
7,4.621449605775443e-08,-0.43919124096502965
8,-5.584924479908829e-07,0.28234499927497486
9,3.692158314307252e-06,1.272357523552386
10,-7.744674613391502e-07,0.2153465325929679
11,5.04757880392951e-07,-0.07091126905861196
12,4.585265352148745e-06,0.28466821673883996
13,-3.1881799019270967e-06,-0.20549617987956587
14,3.2357918718042458e-06,0.1547858901685497
